date,source,series_code,series_name,value
1990-03-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,0.8
1990-03-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.017342550351
1990-03-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,82.3899996561932
1990-03-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,82.39
1990-04-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,2.0
1990-04-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,4.23
1990-04-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,0.7
1990-04-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0200341140678
1990-04-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,15.5199994367887
1990-04-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,15.52
1990-05-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,2.0
1990-05-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,5.69
1990-05-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,0.8
1990-05-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0215547032441
1990-05-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,7.58999959346331
1990-05-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,7.59
1990-06-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,3.0
1990-06-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,8.73
1990-06-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,0.8
1990-06-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0240873809519
1990-06-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,11.7500003554595
1990-06-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,11.75
1990-07-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,3.0
1990-07-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,13.79
1990-07-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,0.9
1990-07-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.027199470492
1990-07-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,12.9199996725029
1990-07-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,12.92
1990-08-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,3.0
1990-08-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,11.53
1990-08-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,1.0
1990-08-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0307027623187
1990-08-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,12.8800001004814
1990-08-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,12.88
1990-09-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,4.0
1990-09-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,15.21
1990-09-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,1.1
1990-09-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0351270304097
1990-09-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,14.4100001331324
1990-09-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,14.41
1990-10-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,4.0
1990-10-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,16.49
1990-10-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,1.4
1990-10-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0401712720553
1990-10-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,14.360000224235
1990-10-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,14.36
1990-11-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,5.0
1990-11-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,19.83
1990-11-01,ipea,br_activity_ipea_monthly_gdp,PIB mensal,1.7
1990-11-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0469240627842
1990-11-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,16.8099997421144
